Game ID,Game Rank,Game Name,Platform,Game Year,Genre,Publisher
314,314,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment
315,315,NBA 2K16,PS4,2015,Sports,Take-Two Interactive
316,316,World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment
317,317,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo
318,318,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment
319,319,The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo
320,320,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo
321,321,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo
322,322,Nintendogs + cats,3DS,2011,Simulation,Nintendo
323,323,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment
324,324,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega
325,325,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision
326,326,Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive
327,327,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment
328,328,Just Dance 2014,Wii,2013,Misc,Ubisoft
329,329,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts
330,330,Super Paper Mario,Wii,2007,Platform,Nintendo
331,331,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts
332,332,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games
333,333,Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive
334,334,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment
335,335,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts
336,336,Pokémon Trading Card Game,GB,1998,Strategy,Nintendo
337,337,Battlefield 4,PS3,2013,Shooter,Electronic Arts
338,338,MySims,DS,2007,Simulation,Electronic Arts
339,339,Friend Collection,DS,2009,Misc,Nintendo
340,340,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision
341,341,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive
342,342,Banjo-Kazooie,N64,1998,Platform,Nintendo
343,343,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment
344,344,Guitar Hero: World Tour,Wii,2008,Misc,Activision
345,345,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment
346,346,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment
347,347,Pokemon Snap,N64,1999,Simulation,Nintendo
348,348,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts
349,349,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment
350,350,Call of Duty: Ghosts,PS4,2013,Shooter,Activision
351,351,Resident Evil 4,PS2,2005,Action,Capcom
352,352,Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft
353,353,Star Wars: Battlefront,PS2,2004,Shooter,LucasArts
354,354,Doom II: Hell on Earth,PC,1994,Shooter,Virgin Interactive
355,355,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts
356,356,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games
357,357,Luigi's Mansion,GC,2001,Action,Nintendo
358,358,Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts
359,359,WWF SmackDown!,PS,2000,Fighting,THQ
360,360,Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive
361,361,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive
362,362,The Getaway,PS2,2002,Action,Sony Computer Entertainment
363,363,Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive
364,364,James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts
365,365,LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive
366,366,Battlefield 4,X360,2013,Shooter,Electronic Arts
367,367,FIFA Soccer 11,X360,2010,Sports,Electronic Arts
368,368,Rugrats in Paris: The Movie,PS,2000,Action,THQ
369,369,Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment
370,370,Left 4 Dead,X360,2008,Shooter,Electronic Arts
371,371,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega
372,372,Resident Evil 5,X360,2009,Action,Capcom
373,373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo
374,374,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft
375,375,Kung Fu,NES,1985,Action,Nintendo
376,376,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive
377,377,Clubhouse Games,DS,2006,Misc,Nintendo
378,378,FIFA Soccer 2004,PS2,2004,Sports,Electronic Arts
379,379,Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts
380,380,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts
381,381,Guitar Hero: On Tour,DS,2008,Misc,Activision
382,382,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft
383,383,Far Cry 3,PS3,2012,Shooter,Ubisoft
384,384,Monster Hunter 4,3DS,2013,Role-Playing,Capcom
385,385,Borderlands,X360,2009,Shooter,Take-Two Interactive
386,386,Tekken 4,PS2,2002,Fighting,Namco Bandai Games
387,387,Battlefield 4,PS4,2013,Shooter,Electronic Arts
388,388,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment
389,389,Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive
390,390,Final Fantasy III,SNES,1994,Role-Playing,SquareSoft
391,391,Spider-Man 2,PS2,2004,Action,Activision
392,392,F-1 Race,GB,1990,Racing,Nintendo
393,393,FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts
394,394,Crash Bash,PS,2000,Misc,Sony Computer Entertainment
395,395,LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment
396,396,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment
397,397,The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo
398,398,WWF War Zone,PS,1998,Fighting,Acclaim Entertainment
399,399,The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo
400,400,Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo
401,401,Rugrats: Search For Reptar,PS,1998,Adventure,THQ
402,402,Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft
403,403,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo
404,404,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts
405,405,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment
406,406,Mario Party 9,Wii,2012,Misc,Nintendo
407,407,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts
408,408,Max Payne,PS2,2001,Shooter,Take-Two Interactive
409,409,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts
410,410,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft
411,411,Destiny,XOne,2014,Shooter,Activision
412,412,True Crime: Streets of LA,PS2,2003,Action,Activision
413,413,Wii Music,Wii,2008,Misc,Nintendo
414,414,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment
415,415,Monster Hunter X,3DS,2015,Action,Capcom
416,416,Tekken,PS,1995,Fighting,Sony Computer Entertainment
417,417,FIFA 16,XOne,2015,Sports,Electronic Arts
418,418,L.A. Noire,PS3,2011,Adventure,Take-Two Interactive
419,419,Madden NFL 16,PS4,2015,Sports,Electronic Arts
420,420,Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo
421,421,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts
422,422,Baseball,NES,1983,Sports,Nintendo
423,423,Killer Instinct,SNES,1995,Fighting,Nintendo
424,424,WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ
425,425,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix
426,426,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment
427,427,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation
428,428,Dance Central,X360,2010,Misc,MTV Games
429,429,Enter the Matrix,PS2,2003,Action,Atari
430,430,Super Mario Maker,WiiU,2015,Platform,Nintendo
431,431,Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks
432,432,LEGO Batman: The Videogame,Wii,2012,Action,Warner Bros. Interactive Entertainment
433,433,Rhythm Heaven,DS,2008,Misc,Nintendo
434,434,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe
435,435,Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios
436,436,Animal Crossing,GC,2001,Simulation,Nintendo
437,437,LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment
438,438,Sonic Rush,DS,2005,Platform,Sega
439,439,Resident Evil 6,PS3,2012,Shooter,Capcom
440,440,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios
441,441,FIFA Soccer 08,PS2,2007,Sports,Electronic Arts
442,442,Spider-Man,PS,2000,Action,Activision
443,443,Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts
444,444,Star Wars Episode I Racer,N64,1999,Racing,Nintendo
445,445,Personal Trainer: Cooking,DS,2006,Misc,Nintendo
446,446,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft
447,447,Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation
448,448,Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment
449,449,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts
450,450,FIFA 15,X360,2014,Sports,Electronic Arts
451,451,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari
452,452,Madden NFL 2002,PS2,2001,Sports,Electronic Arts
453,453,World Class Track Meet,NES,1986,Sports,Namco Bandai Games
454,454,Borderlands 2,X360,2012,Shooter,Take-Two Interactive
455,455,The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo
456,456,Donkey Kong,GB,1994,Platform,Nintendo
457,457,The Sims: Vacation,PC,2002,Simulation,Electronic Arts
458,458,Mass Effect 3,X360,2012,Role-Playing,Electronic Arts
459,459,Kung Fu Panda,X360,2008,Action,Activision
460,460,Far Cry 3,X360,2012,Shooter,Ubisoft
461,461,Epic Mickey,Wii,2010,Platform,Disney Interactive Studios
462,462,Saints Row 2,X360,2008,Action,THQ
463,463,Rayman,PS,1995,Platform,Ubisoft
464,464,Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment
465,465,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft
466,466,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo
467,467,WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ
468,468,Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios
469,469,NBA 2K13,X360,2012,Sports,Take-Two Interactive
470,470,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari
471,471,wwe Smackdown vs. Raw 2006,PS2,2006,Fighting,Electronic Arts
